date,is_weekend,is_public_hol,is_school_break,official_day_off,is_bridge_day,day_type,is_extended_day_off
2021-11-06,True,False,False,True,False,weekend,True
2021-11-07,True,False,False,True,False,weekend,True
2021-11-08,False,False,False,False,False,workday,False
2021-11-09,False,False,False,False,False,workday,False
2021-11-10,False,False,False,False,False,workday,False
2021-11-11,False,False,False,False,False,workday,False
2021-11-12,False,False,False,False,False,workday,False
2021-11-13,True,False,False,True,False,weekend,True
2021-11-14,True,False,False,True,False,weekend,True
2021-11-15,False,False,False,False,False,workday,False
2021-11-16,False,False,False,False,False,workday,False
2021-11-17,False,False,False,False,False,workday,False
2021-11-18,False,False,False,False,False,workday,False
2021-11-19,False,False,False,False,False,workday,False
2021-11-20,True,False,False,True,False,weekend,True
2021-11-21,True,False,False,True,False,weekend,True
2021-11-22,False,False,False,False,False,workday,False
2021-11-23,False,False,False,False,False,workday,False
2021-11-24,False,False,False,False,False,workday,False
2021-11-25,False,False,False,False,False,workday,False
2021-11-26,False,False,False,False,False,workday,False
2021-11-27,True,False,False,True,False,weekend,True
2021-11-28,True,False,False,True,False,weekend,True
2021-11-29,False,False,False,False,False,workday,False
2021-11-30,False,False,False,False,False,workday,False
2021-12-01,False,False,False,False,False,workday,False
2021-12-02,False,False,False,False,False,workday,False
2021-12-03,False,False,False,False,False,workday,False
2021-12-04,True,False,False,True,False,weekend,True
2021-12-05,True,False,False,True,False,weekend,True
2021-12-06,False,False,False,False,False,workday,False
2021-12-07,False,False,False,False,False,workday,False
2021-12-08,False,False,False,False,False,workday,False
2021-12-09,False,False,False,False,False,workday,False
2021-12-10,False,False,False,False,False,workday,False
2021-12-11,True,False,False,True,False,weekend,True
2021-12-12,True,False,False,True,False,weekend,True
2021-12-13,False,False,False,False,False,workday,False
2021-12-14,False,False,False,False,False,workday,False
2021-12-15,False,False,False,False,False,workday,False
2021-12-16,False,False,False,False,False,workday,False
2021-12-17,False,False,False,False,False,workday,False
2021-12-18,True,False,False,True,False,weekend,True
2021-12-19,True,False,False,True,False,weekend,True
2021-12-20,False,False,True,True,False,workday,False
2021-12-21,False,False,True,True,False,workday,False
2021-12-22,False,False,True,True,False,workday,False
2021-12-23,False,False,True,True,False,workday,False
2021-12-24,False,False,True,True,False,workday,False
2021-12-25,True,True,True,True,False,public_holiday,True
2021-12-26,True,True,True,True,False,public_holiday,True
2021-12-27,False,False,True,True,False,workday,False
2021-12-28,False,False,True,True,False,workday,False
2021-12-29,False,False,True,True,False,workday,False
2021-12-30,False,False,True,True,False,workday,False
2021-12-31,False,False,True,True,False,workday,False
